,Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate
9124,S. Nachreiner,Sebastian Nachreiner,66,66,400000,CB,CB,Germany,https://cdn.sofifa.net/players/209/194/23_60.png,33,187,77,1312,279,SSV Jahn Regensburg,4000,620000,SUB,2023,28,2010,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium
9125,M. Sangare,Mamadou Sangare,66,78,2100000,"CAM,RM,ST",CAM,Mali,https://cdn.sofifa.net/players/258/601/23_60.png,20,178,63,1638,361,SV Zulte Waregem,6000,0,LM,2023,10,2020,YES,Left,3,3,1,-,-,-,-,Medium,Medium
9126,M. Pineda,Mauricio Pineda,66,75,1800000,"CB,CDM",CB,United States,https://cdn.sofifa.net/players/255/273/23_60.png,24,185,78,1470,327,Chicago Fire Football Club,2000,3000000,CB,2022,22,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
9127,F. Cardozo,Fernando Cardozo,66,75,1900000,"LM,RM",CAM,Paraguay,https://cdn.sofifa.net/players/248/873/23_60.png,21,173,72,1619,348,Club Olimpia,500,4600000,LM,2023,14,2020,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium
9128,L. Gülen,Levent Gülen,66,68,850000,CB,CB,Switzerland,https://cdn.sofifa.net/players/208/169/23_60.png,28,185,77,1634,356,Miedź Legnica,2000,1200000,CB,2024,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,High
9129,I. Lepinjica,Ivan Lepinjica,66,73,1600000,CDM,CB,Croatia,https://cdn.sofifa.net/players/271/401/23_60.png,22,190,84,1665,363,DSC Arminia Bielefeld,5000,2900000,CDM,2023,13,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/hr.png,-,-,Medium,High
9130,R. Flamingo,Ryan Flamingo,66,78,1900000,CB,CB,Netherlands,https://cdn.sofifa.net/players/270/633/23_60.png,19,186,75,1788,384,Vitesse,4000,0,CB,2023,3,2021,YES,Right,3,2,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium
9131,M. Gorgelin,Mathieu Gorgelin,66,66,450000,GK,GK,France,https://cdn.sofifa.net/players/199/721/23_60.png,31,187,83,1054,375,Le Havre AC,2000,788000,SUB,2025,1,2019,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
9132,J. Aguilar,Juan Aguilar,66,66,425000,"CDM,CM",CDM,Paraguay,https://cdn.sofifa.net/players/199/465/23_60.png,33,177,77,1594,343,Guaireña FC,500,914000,CM,2022,24,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium
9133,B. Sepúlveda,Bruno Sepúlveda,66,66,850000,ST,ST,Argentina,https://cdn.sofifa.net/players/261/160/23_60.png,29,187,82,1590,331,Barracas Central,4000,1200000,ST,2023,29,2017,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High
9134,C. Rocchia,Christopher Rocchia,66,70,1100000,"LB,LM",LWB,France,https://cdn.sofifa.net/players/241/704/23_60.png,24,172,70,1775,382,Dijon FCO,2000,2000000,LB,2023,13,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
9135,Q. Braat,Quentin Braat,66,71,1000000,GK,GK,France,https://cdn.sofifa.net/players/231/720/23_60.png,24,194,90,917,360,Real Oviedo,2000,1700000,SUB,2025,1,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
9136,J. Leudo,José Leudo,66,66,750000,CDM,CB,Colombia,https://cdn.sofifa.net/players/215/336/23_60.png,28,182,92,1686,363,Rosario Central,5000,1100000,SUB,2023,13,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Low,High
9137,J. Archer,Jordan Archer,66,68,700000,GK,GK,Scotland,https://cdn.sofifa.net/players/205/352/23_60.png,29,191,80,1117,374,Queens Park Rangers,8000,1400000,SUB,2023,13,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium
9138,E. Rivera,Edwin Rivera,66,66,675000,"CM,CDM",CM,Bolivia,https://cdn.sofifa.net/players/260/647/23_60.png,32,180,75,1775,371,Club Always Ready,500,1500000,SUB,2022,30,2022,-,Right,3,3,1,-,-,-,-,Medium,High
9139,A. Sanyang,Abdoulie Sanyang,66,74,1900000,"RM,ST,LW",LM,Gambia,https://cdn.sofifa.net/players/257/831/23_60.png,23,173,69,1706,373,Grenoble Foot 38,2000,3700000,LM,2024,2,2022,-,Left,3,3,1,-,-,-,-,High,High
9140,J. Brayford,John Brayford,66,66,275000,"CB,RB",CB,England,https://cdn.sofifa.net/players/190/247/23_60.png,34,173,71,1738,354,Burton Albion,2000,481000,RB,2024,2,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium
9141,S. Oméonga,Stéphane Oméonga,66,67,1000000,CM,RM,Belgium,https://cdn.sofifa.net/players/234/785/23_60.png,26,175,72,1807,397,Livingston FC,2000,1800000,CM,2023,33,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/be.png,-,-,High,High
9142,M. Mak,Mateusz Mak,66,66,825000,"CAM,LM,ST",CAM,Poland,https://cdn.sofifa.net/players/207/905/23_60.png,30,173,60,1789,373,PGE FKS Stal Mielec,1000,1100000,SUB,2023,10,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,Medium
9143,T. Goppel,Thijmen Goppel,66,68,1100000,"RM,CAM",RM,Netherlands,https://cdn.sofifa.net/players/241/540/23_60.png,25,178,73,1749,383,SV Wehen Wiesbaden,3000,1700000,RM,2023,9,2021,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Low
9144,B. Rusu,Bogdan Rusu,66,66,700000,ST,ST,Romania,https://cdn.sofifa.net/players/251/780/23_60.png,32,180,70,1701,354,FCSB (Steaua),6000,945000,SUB,2024,90,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Low
9145,B. Paulsen,Bjørn Paulsen,66,66,700000,CB,CB,Denmark,https://cdn.sofifa.net/players/198/538/23_60.png,30,191,85,1748,360,Odense Boldklub,4000,875000,CB,2025,4,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium
9146,O. Gürbulak,Oğuz Gürbulak,66,66,825000,"CM,CAM,CDM",CAM,Turkey,https://cdn.sofifa.net/players/270/218/23_60.png,29,178,70,1820,379,Ümraniyespor,5000,1600000,CDM,2024,20,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Medium
9147,N. Manfredini,Nicolò Manfredini,66,66,150000,GK,GK,Italy,https://cdn.sofifa.net/players/208/778/23_60.png,34,190,80,1069,372,Benevento,1000,240000,SUB,2023,12,2019,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
9148,M. Engels,Mario Engels,66,66,875000,"ST,LM",ST,Germany,https://cdn.sofifa.net/players/223/370/23_60.png,28,184,74,1707,368,Sparta Rotterdam,4000,1300000,SUB,2023,19,2020,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
9149,M. Chajia,Moutir Chajia,66,72,1400000,"LM,CAM",CAM,Belgium,https://cdn.sofifa.net/players/238/474/23_60.png,24,177,72,1581,335,Como,1000,2500000,RES,2025,7,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium
9150,Jesús Bueno,Jesús Daniel Bueno Áñez,66,72,1200000,"CDM,CM",CDM,Venezuela,https://cdn.sofifa.net/players/259/978/23_60.png,23,178,74,1713,364,Philadelphia Union,2000,2000000,SUB,2023,20,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,High
9151,M. Poaty,Morgan Poaty,66,70,1100000,"LWB,LB,LM",LB,Congo,https://cdn.sofifa.net/players/231/307/23_60.png,24,175,75,1747,388,Seraing,4000,1700000,LWB,2023,18,2021,-,Left,2,3,1,-,-,-,-,High,High
9152,M. Bernauer,Maxime Bernauer,66,73,1600000,"RB,CB",CDM,France,https://cdn.sofifa.net/players/243/595/23_60.png,24,186,77,1757,370,Paris FC,2000,3200000,CB,2024,24,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium
9153,Yu Hanchao,Hanchao Yu,66,66,350000,"LM,RM",LM,China PR,https://cdn.sofifa.net/players/182/411/23_60.png,35,179,70,1738,365,Shanghai Shenhua FC,3000,543000,SUB,2023,20,2020,-,Right,4,3,1,-,-,-,-,High,Medium
9154,M. Carrasco,Marco Carrasco,66,66,750000,RB,RB,Ecuador,https://cdn.sofifa.net/players/265/612/23_60.png,29,170,65,1752,375,C.D. Universidad Católica del Ecuador,500,1600000,SUB,2022,13,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ec.png,-,-,High,High
9155,Matheus Rossetto,Matheus Rossetto,66,67,1000000,"CM,CDM",CAM,Brazil,https://cdn.sofifa.net/players/234/892/23_60.png,26,180,75,1696,368,Atlanta United,3000,1600000,SUB,2025,9,2020,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Low
9156,V. Mantovani,Valerio Mantovani,66,70,1100000,CB,CB,Italy,https://cdn.sofifa.net/players/235/916/23_60.png,26,180,70,1426,298,Ternana,7000,0,SUB,2023,13,2022,YES,Right,2,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium
9157,Darío Poveda,Darío Poveda Romera,66,71,1300000,ST,ST,Spain,https://cdn.sofifa.net/players/236/940/23_60.png,25,185,75,1520,313,UD Ibiza,8000,0,ST,2023,19,2021,YES,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
9158,A. Vlad,Andrei Vlad,66,71,1000000,GK,GK,Romania,https://cdn.sofifa.net/players/248/018/23_60.png,23,190,85,1106,373,FCSB (Steaua),3000,1400000,SUB,2023,99,2017,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium
9159,Ba Dun,Dun Ba,66,66,925000,"RM,RW,ST",RM,China PR,https://cdn.sofifa.net/players/224/466/23_60.png,26,181,72,1734,374,Tianjin Jinmen Tiger FC,3000,1400000,RM,2024,29,2022,-,Right,3,3,1,-,-,-,-,Medium,Low
9160,Pablo Iñiguez,Pablo Iñiguez de Heredia,66,68,850000,"CB,CDM",CB,Spain,https://cdn.sofifa.net/players/206/546/23_60.png,28,184,73,1621,331,Villarreal Club de Fútbol B,2000,1400000,CB,2023,19,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High
9161,J. Ramis,Jhonathan Ramis,66,66,700000,"ST,LM",RW,Uruguay,https://cdn.sofifa.net/players/198/354/23_60.png,32,179,78,1645,363,Cerro Largo Fútbol Club,500,1500000,ST,2022,31,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium
9162,Zhang Chengdong,Chengdong Zhang,66,66,400000,"CB,RB",ST,China PR,https://cdn.sofifa.net/players/182/409/23_60.png,33,185,76,1939,401,Beijing Guoan FC,5000,620000,CB,2023,28,2022,-,Right,3,2,1,-,-,-,-,Medium,High
9163,R. Magyar,Richárd Magyar,66,66,575000,CB,CB,Sweden,https://cdn.sofifa.net/players/199/049/23_60.png,31,192,85,1543,323,Hammarby IF,2000,719000,RES,2022,4,2019,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium
9164,Koo Ja Cheol,Ja Cheol Koo,66,66,525000,"CM,CAM,RM",CAM,Korea Republic,https://cdn.sofifa.net/players/182/152/23_60.png,33,183,79,1840,378,Jeju United FC,3000,656000,SUB,2025,42,2022,-,Right,4,3,2,-,-,-,-,High,High
9165,M. Gargiulo,Mario Gargiulo,66,68,1100000,"CM,CAM",CM,Italy,https://cdn.sofifa.net/players/224/902/23_60.png,26,187,81,1725,379,Modena,1000,1800000,CM,2025,20,2022,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,High
9166,L. Ramírez,Luis Ramírez,66,70,1200000,"CM,CAM",CM,Venezuela,https://cdn.sofifa.net/players/255/108/23_60.png,24,181,75,1645,358,Caracas Fútbol Club,500,2700000,SUB,2022,11,2020,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium
9167,Fortuño,Ángel Fortuño Viñas,66,74,1600000,GK,GK,Spain,https://cdn.sofifa.net/players/258/948/23_60.png,20,183,77,1065,366,RCD Espanyol de Barcelona,3000,3700000,SUB,2024,34,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
9168,Olaetxea,Lander Olaetxea,66,66,825000,"CM,CDM,RM",CF,Spain,https://cdn.sofifa.net/players/229/765/23_60.png,29,179,75,1765,376,Albacete BP,3000,1300000,CDM,2023,19,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium
9169,P. Menzel,Phillip Menzel,66,72,1100000,GK,GK,Germany,https://cdn.sofifa.net/players/235/141/23_60.png,23,192,84,943,353,SK Austria Klagenfurt,2000,1800000,GK,2024,13,2020,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
9170,R. Opruț,Raul Opruț,66,72,1300000,LB,LB,Romania,https://cdn.sofifa.net/players/251/781/23_60.png,24,181,70,1621,361,AFC Hermannstadt,2000,2000000,LB,2025,98,2019,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium
9171,N. Ahamada,Naouirou Ahamada,66,78,2100000,CM,CAM,France,https://cdn.sofifa.net/players/259/205/23_60.png,20,183,73,1728,372,VfB Stuttgart,5000,4200000,CM,2026,32,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium
9172,Gu Chao,Chao Gu,66,66,425000,GK,GK,China PR,https://cdn.sofifa.net/players/222/342/23_60.png,32,196,92,1224,371,Zhejiang Professional FC,3000,659000,SUB,2027,1,2022,-,Right,1,1,1,-,-,-,-,Medium,Medium
9173,P. Ba,Pape Ibnou Ba,66,66,850000,ST,ST,Mauritania,https://cdn.sofifa.net/players/257/414/23_60.png,29,174,68,1641,352,Pau FC,3000,0,ST,2023,29,2021,YES,Right,3,2,1,-,-,-,-,High,Low
9174,A. Papadopoulos,Antonios Papadopoulos,66,75,1800000,"CB,CM",CB,Germany,https://cdn.sofifa.net/players/240/008/23_60.png,22,185,83,1539,340,Borussia Dortmund II,1000,3000000,CB,2024,18,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High
9175,D. Charles,Dion Charles,66,69,1100000,ST,ST,Northern Ireland,https://cdn.sofifa.net/players/220/039/23_60.png,26,177,67,1788,386,Bolton Wanderers,5000,2000000,ST,2025,10,2022,-,Right,4,2,1,Northern Ireland,-,SUB,10,High,High
9176,C. Psyché,Christophe Psyché,66,66,400000,CB,CB,France,https://cdn.sofifa.net/players/224/391/23_60.png,33,186,85,1569,324,Tromsø IL,2000,500000,CB,2022,28,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Low,Medium
9177,V. Antov,Valentin Antov,66,77,1800000,CB,CB,Bulgaria,https://cdn.sofifa.net/players/248/199/23_60.png,21,185,75,1568,330,AC Monza,8000,3400000,RES,2026,26,2022,-,Right,3,2,1,-,-,-,-,Medium,High
9178,S. Dikmen,Soner Dikmen,66,66,750000,CDM,CDM,Turkey,https://cdn.sofifa.net/players/252/807/23_60.png,28,179,75,1661,359,İttifak Holding Konyaspor,5000,1500000,CDM,2024,14,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium
9179,M. Tomianovic,Mirko Tomianovic,66,74,1900000,"RM,RW",CAM,Bolivia,https://cdn.sofifa.net/players/254/343/23_60.png,20,167,64,1871,404,Royal Pari,500,4500000,SUB,2022,16,2021,-,Right,3,4,1,-,-,-,-,High,Medium
9180,Ko Kwang Min,Kwang Min Ko,66,66,450000,"LB,LWB",LB,Korea Republic,https://cdn.sofifa.net/players/206/472/23_60.png,33,172,63,1738,371,FC Seoul,2000,563000,SUB,2022,27,2011,-,Right,4,3,1,-,-,-,-,Medium,Medium
9181,J. Valencia,Jhojan Valencia,66,71,1100000,"CDM,CM",CAM,Colombia,https://cdn.sofifa.net/players/228/744/23_60.png,25,172,75,1738,376,Austin FC,2000,1700000,SUB,2024,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium
9182,Zeca,José Carlos Cracco Neto,66,66,775000,"RB,LB",RB,Brazil,https://cdn.sofifa.net/players/222/980/23_60.png,28,169,68,1796,377,Houston Dynamo,2000,1100000,SUB,2022,37,2022,-,Right,1,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
9183,A. Sigurðarson,Aron Sigurðarson,66,66,850000,"LM,RM",LM,Iceland,https://cdn.sofifa.net/players/233/401/23_60.png,28,177,70,1692,364,AC Horsens,4000,1100000,CM,2024,11,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/is.png,-,-,High,Medium
9184,O. Villadsen,Oliver Villadsen,66,75,1800000,"RB,RWB",RM,Denmark,https://cdn.sofifa.net/players/251/908/23_60.png,20,173,70,1760,387,FC Nordsjælland,3000,2600000,RB,2024,23,2019,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium
9185,J. Karlstrøm,Jacob Karlstrøm,66,72,1100000,GK,GK,Norway,https://cdn.sofifa.net/players/235/606/23_60.png,25,200,90,1089,371,Molde FK,2000,1600000,GK,2025,1,2022,-,Right,3,1,1,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium
9186,M. Duffy,Michael Duffy,66,66,900000,LM,LM,Republic of Ireland,https://cdn.sofifa.net/players/210/263/23_60.png,27,179,75,1753,371,Derry City,1000,1400000,RES,2026,7,2022,-,Right,4,4,1,-,-,-,-,Medium,Low
9187,J. Cornejo,Juan Cornejo,66,66,550000,"CB,LB",CB,Chile,https://cdn.sofifa.net/players/213/591/23_60.png,32,175,81,1827,391,CD Antofagasta,2000,743000,LWB,2022,15,2022,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,Medium
9188,G. Byers,George Byers,66,68,1100000,CM,CM,Scotland,https://cdn.sofifa.net/players/224/855/23_60.png,26,180,73,1745,368,Sheffield Wednesday,5000,2000000,CM,2023,14,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium
9189,C. Capone,Christian Capone,66,74,1900000,"LW,CF",CAM,Italy,https://cdn.sofifa.net/players/240/215/23_60.png,23,183,75,1572,337,Südtirol,12000,0,SUB,2023,37,2017,YES,Right,3,4,1,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium
9190,A. Oviedo,Alfio Oviedo,66,69,1100000,ST,ST,Paraguay,https://cdn.sofifa.net/players/245/079/23_60.png,26,181,81,1564,339,Club Cerro Porteño,500,2500000,SUB,2023,20,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/py.png,-,-,High,Medium
9191,Z. Lepasa,Zakhele Lepasa,66,71,1300000,"ST,CF",ST,South Africa,https://cdn.sofifa.net/players/252/247/23_60.png,25,180,76,1526,334,Orlando Pirates,500,3000000,RES,2023,25,2015,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/za.png,-,-,Medium,Medium
9192,Matheus Babi,Matheus Barcelos da Silva,66,71,1300000,ST,ST,Brazil,https://cdn.sofifa.net/players/258/391/23_60.png,24,191,80,1507,329,Santa Clara,2000,2800000,SUB,2023,39,2022,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium
9193,J. Che,Justin Che,66,82,2100000,"RWB,CB,RB",RWB,United States,https://cdn.sofifa.net/players/259/159/23_60.png,18,185,79,1574,346,TSG Hoffenheim,700,0,SUB,2023,24,2020,YES,Right,2,2,1,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High
9194,T. Itō,Tatsuya Itō,66,69,1100000,LW,LW,Japan,https://cdn.sofifa.net/players/241/240/23_60.png,25,163,59,1555,319,1. FC Magdeburg,5000,0,SUB,2023,37,2019,YES,Right,4,4,1,-,https://cdn.sofifa.net/flags/jp.png,-,-,Medium,Medium
9195,N. Cabrera,Nelson Cabrera,66,66,150000,"CB,RB",CB,Bolivia,https://cdn.sofifa.net/players/176/472/23_60.png,39,191,84,1488,314,Club Always Ready,500,323000,CB,2022,26,2019,-,Left,3,2,1,-,-,-,-,Medium,Medium
9196,Joel Pereira,Joel Castro Pereira,66,70,925000,GK,GK,Portugal,https://cdn.sofifa.net/players/212/710/23_60.png,26,188,70,1060,369,RKC Waalwijk,2000,1400000,SUB,2023,21,2021,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium
9197,G. Moncur,George Moncur,66,66,850000,"CAM,CM,LM",CAM,England,https://cdn.sofifa.net/players/201/446/23_60.png,28,176,63,1739,364,Leyton Orient,5000,1500000,CAM,2025,14,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low
9198,J. Bolívar,José Bolívar,66,73,1600000,"LB,LM",LM,Peru,https://cdn.sofifa.net/players/265/446/23_60.png,22,177,84,1769,384,Sport Boys,500,3800000,LB,2022,2,2021,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/pe.png,-,-,Medium,Medium
9199,Barbero,Iván Martínez Gonzálvez,66,73,1700000,ST,ST,Spain,https://cdn.sofifa.net/players/255/461/23_60.png,23,186,78,1505,331,CA Osasuna,7000,3900000,SUB,2023,26,2017,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium
9200,C. Connolly,Callum Connolly,66,71,1200000,"CB,RB,CDM",CB,England,https://cdn.sofifa.net/players/229/605/23_60.png,24,183,70,1782,379,Blackpool,3000,2300000,CM,2023,2,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium
9201,J. Thorniley,Jordan Thorniley,66,72,1200000,CB,CB,England,https://cdn.sofifa.net/players/229/349/23_60.png,25,181,79,1567,340,Blackpool,4000,2500000,SUB,2023,34,2020,-,Left,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High
9202,T. Huk,Tomáš Huk,66,67,850000,CB,CB,Slovakia,https://cdn.sofifa.net/players/251/364/23_60.png,27,184,77,1436,312,Piast Gliwice,3000,1200000,RES,2025,5,2019,-,Right,2,2,1,-,-,-,-,Low,Medium
9203,I. Kharatin,Igor Kharatin,66,66,800000,CDM,CDM,Ukraine,https://cdn.sofifa.net/players/261/206/23_60.png,27,188,76,1713,368,Legia Warszawa,3000,1100000,SUB,2024,14,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ua.png,-,-,Medium,Medium
9204,M. Tillman,Malik Tillman,66,83,2200000,"CAM,ST,LM",ST,United States,https://cdn.sofifa.net/players/256/853/23_60.png,20,187,71,1584,346,Rangers FC,10000,0,SUB,2023,71,2021,YES,Right,3,3,1,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium
9205,M. Tenho,Miro Tenho,66,69,975000,CB,CB,Finland,https://cdn.sofifa.net/players/254/994/23_60.png,27,190,82,1436,315,HJK Helsinki,500,2200000,CB,2023,15,2020,-,Right,3,2,1,Finland,https://cdn.sofifa.net/flags/fi.png,SUB,5,Medium,High
9206,G. González,Gonzalo González,66,66,750000,"CDM,CM",CDM,Uruguay,https://cdn.sofifa.net/players/242/261/23_60.png,28,180,75,1787,377,Delfín Sporting Club,500,1600000,CDM,2022,33,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium
9207,M. Browne,Marcus Browne,66,70,1200000,"LW,LM,RM",LW,England,https://cdn.sofifa.net/players/231/442/23_60.png,24,179,74,1633,359,Oxford United,4000,2200000,CAM,2024,11,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low
9208,Y. Chermiti,Youssef Chermiti,66,79,2000000,ST,ST,Portugal,https://cdn.sofifa.net/players/270/866/23_60.png,18,192,81,1557,343,Sporting CP,2000,5300000,RES,2023,79,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium
9209,V. Eicher,Vitus Eicher,66,66,450000,GK,GK,Germany,https://cdn.sofifa.net/players/200/466/23_60.png,31,191,85,1087,370,1. FC Heidenheim 1846,5000,698000,SUB,2023,22,2017,-,Left,2,1,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium
9210,D. Velkovski,Dimitar Velkovski,66,67,900000,"LB,LWB",LB,Bulgaria,https://cdn.sofifa.net/players/255/505/23_60.png,27,185,68,1701,370,KSV Cercle Brugge,4000,1400000,RES,2023,19,2020,-,Left,3,2,1,-,-,-,-,Medium,Medium
9211,Go Yo Han,Yo Han Go,66,66,400000,"CM,RM,ST",RM,Korea Republic,https://cdn.sofifa.net/players/184/337/23_60.png,34,170,65,1914,399,FC Seoul,3000,500000,RES,2022,13,2005,-,Right,3,3,1,-,-,-,-,High,High
9212,W. Araujo,Walter Araujo,66,67,1000000,"CAM,CM",CAM,Paraguay,https://cdn.sofifa.net/players/253/777/23_60.png,26,172,66,1669,350,Metropolitanos de Caracas FC,500,2200000,SUB,2022,10,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium
9213,K. Drygas,Kamil Drygas,66,66,825000,"CM,CDM",CB,Poland,https://cdn.sofifa.net/players/199/762/23_60.png,30,184,72,1870,392,Pogoń Szczecin,3000,1100000,CM,2024,14,2016,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,High
9214,D. Asprilla,Dairon Asprilla,66,66,825000,"LM,RM",ST,Colombia,https://cdn.sofifa.net/players/214/354/23_60.png,30,180,75,1831,386,Portland Timbers,3000,1200000,SUB,2022,27,2014,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium
9215,P. Kioso,Peter Kioso,66,73,1600000,"RWB,RB",RWB,Republic of Ireland,https://cdn.sofifa.net/players/255/314/23_60.png,22,183,73,1681,367,Rotherham United,4000,3300000,SUB,2025,30,2022,-,Right,3,2,1,-,-,-,-,High,Medium
9216,T. Meißner,Thomas Meißner,66,66,575000,CB,CB,Germany,https://cdn.sofifa.net/players/209/491/23_60.png,31,191,82,1478,329,F.C. Hansa Rostock,4000,891000,RES,2024,25,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium
9217,S. Sarr,Sidy Sarr,66,70,1100000,"CDM,CM",CB,Senegal,https://cdn.sofifa.net/players/230/995/23_60.png,26,196,75,1760,383,GD Chaves,2000,2300000,SUB,2023,14,2022,-,Left,3,2,1,-,-,-,-,Medium,Medium
